Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
Random Forest,Balanced weighting,8,4,0.75167224080267558,0.19798027317387593,23,338,361
Gradient Boosting,Balanced weighting,8,4,0.68407512220221245,0.21242100217540172,23,338,361
SVM,Balanced weighting,8,4,0.68973501414972982,0.16117625358133081,23,338,361
Logistic Regression,Balanced weighting,8,5,0.71810089020771517,0.196141598019344,24,337,361
Random Forest,Balanced weighting,8,5,0.70691147378832841,0.21126038075246911,24,337,361
Gradient Boosting,Balanced weighting,8,5,0.70450049455984176,0.17751666773386926,24,337,361
SVM,Balanced weighting,8,5,0.73293768545994065,0.22007913521551642,24,337,361
Logistic Regression,Balanced weighting,9,1,0.76220414201183428,0.22706406742729918,24,338,362
Random Forest,Balanced weighting,9,1,0.73705621301775137,0.1977141136902951,24,338,362
Gradient Boosting,Balanced weighting,9,1,0.75708826429980269,0.21206010293171401,24,338,362
SVM,Balanced weighting,9,1,0.72805719921104539,0.16318572948246099,24,338,362
Logistic Regression,Balanced weighting,9,2,0.68417159763313606,0.19179259833157325,24,338,362
Random Forest,Balanced weighting,9,2,0.63936143984220906,0.12668095664333062,24,338,362
Gradient Boosting,Balanced weighting,9,2,0.6272805719921104,0.12082838684497146,24,338,362
SVM,Balanced weighting,9,2,0.69354043392504927,0.17186962623433347,24,338,362
Logistic Regression,Balanced weighting,9,3,0.73261834319526631,0.1578492181725033,24,338,362
Random Forest,Balanced weighting,9,3,0.68343195266272194,0.15728513156976578,24,338,362
Gradient Boosting,Balanced weighting,9,3,0.71942800788954631,0.22937853067826725,24,338,362
SVM,Balanced weighting,9,3,0.72053747534516766,0.19111111201628159,24,338,362
Logistic Regression,Balanced weighting,9,4,0.79405711345510666,0.24187965112983778,23,338,361
Random Forest,Balanced weighting,9,4,0.76807306405968612,0.2400749067767482,23,338,361
Gradient Boosting,Balanced weighting,9,4,0.75019295086184712,0.28839267097237731,23,338,361
SVM,Balanced weighting,9,4,0.74800617442757911,0.25164595080724939,23,338,361
Logistic Regression,Balanced weighting,9,5,0.79821958456973297,0.32853081130213835,24,337,361
Random Forest,Balanced weighting,9,5,0.8135509396636994,0.19194578373837259,24,337,361
Gradient Boosting,Balanced weighting,9,5,0.69998763600395653,0.15534499240832605,24,337,361
SVM,Balanced weighting,9,5,0.7478981206726012,0.16242642371313118,24,337,361
Logistic Regression,Balanced weighting,10,1,0.74297337278106501,0.14659235186527225,24,338,362
Random Forest,Balanced weighting,10,1,0.75560897435897445,0.16576087356962796,24,338,362
Gradient Boosting,Balanced weighting,10,1,0.72349605522682447,0.16489122493080752,24,338,362
SVM,Balanced weighting,10,1,0.7116617357001972,0.18573467164886578,24,338,362
Logistic Regression,Balanced weighting,10,2,0.7068540433925049,0.22126443338536614,24,338,362
Random Forest,Balanced weighting,10,2,0.63584812623274156,0.099670095582028662,24,338,362
Gradient Boosting,Balanced weighting,10,2,0.64139546351084809,0.10400456063157071,24,338,362
SVM,Balanced weighting,10,2,0.64386094674556216,0.10514435088391495,24,338,362
Logistic Regression,Balanced weighting,10,3,0.82334812623274167,0.3421981880038068,24,338,362
Random Forest,Balanced weighting,10,3,0.79893984220907288,0.25503560384999585,24,338,362
Gradient Boosting,Balanced weighting,10,3,0.74679487179487181,0.23348354667455315,24,338,362
SVM,Balanced weighting,10,3,0.80054240631163709,0.22574189901425892,24,338,362
Logistic Regression,Balanced weighting,10,4,0.7325701054798045,0.19919913568096295,23,338,361
Random Forest,Balanced weighting,10,4,0.70909441728839728,0.1659824844152496,23,338,361
Gradient Boosting,Balanced weighting,10,4,0.73694365834834064,0.17450752449964341,23,338,361
SVM,Balanced weighting,10,4,0.70311294057113438,0.2065774628102999,23,338,361
Logistic Regression,Balanced weighting,10,5,0.69287833827893175,0.19228795987300451,24,337,361
Random Forest,Balanced weighting,10,5,0.6934347181008903,0.30973651138652092,24,337,361
Gradient Boosting,Balanced weighting,10,5,0.7119188921859545,0.17776581777845729,24,337,361
SVM,Balanced weighting,10,5,0.71550445103857574,0.23580942987016273,24,337,361
