Model,Curve,x,y
Logistic Regression,PR,0.90196078431372551,0.096842105263157896
Logistic Regression,PR,0.90196078431372551,0.097046413502109699
Logistic Regression,PR,0.90196078431372551,0.097251585623678652
Logistic Regression,PR,0.90196078431372551,0.097457627118644072
Logistic Regression,PR,0.90196078431372551,0.097664543524416142
Logistic Regression,PR,0.90196078431372551,0.097872340425531917
Logistic Regression,PR,0.90196078431372551,0.098081023454157784
Logistic Regression,PR,0.90196078431372551,0.098290598290598288
Logistic Regression,PR,0.90196078431372551,0.098501070663811557
Logistic Regression,PR,0.90196078431372551,0.098712446351931327
Logistic Regression,PR,0.90196078431372551,0.098924731182795697
Logistic Regression,PR,0.90196078431372551,0.099137931034482762
Logistic Regression,PR,0.90196078431372551,0.099352051835853133
Logistic Regression,PR,0.90196078431372551,0.099567099567099568
Logistic Regression,PR,0.90196078431372551,0.099783080260303691
